"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2012-10-01","00:30:13",35165,"2.15.1","i686","linux-gnu","quadprog","1.5-4","AU",1
"2012-10-01","00:30:15",212967,"2.15.1","i686","linux-gnu","lavaan","0.5-9","AU",1
"2012-10-01","02:30:16",167199,"2.15.1","x86_64","linux-gnu","formatR","0.6","US",2
"2012-10-01","02:30:16",21164,"2.15.1","x86_64","linux-gnu","stringr","0.6.1","US",2
"2012-10-01","02:30:13",11046,"2.15.1","x86_64","linux-gnu","evaluate","0.4.2","US",2
"2012-10-01","02:30:13",42294,"2.15.1","x86_64","linux-gnu","digest","0.5.2","US",2
"2012-10-01","02:30:16",435407,"2.15.1","x86_64","linux-gnu","knitr","0.8","US",2
"2012-10-01","02:26:05",326143,"2.15.1","i686","linux-gnu","mice","2.13","AU",1
"2012-10-01","02:21:09",119459,"2.15.1","i686","linux-gnu","mitools","2.2","AU",1
"2012-10-01","02:38:08",868695,"2.15.0","x86_64","linux-gnu","RCurl","1.95-0","US",3
"2012-10-01","02:38:00",8954,"2.15.0","x86_64","linux-gnu","bitops","1.0-4.1","US",3
"2012-10-01","02:30:13",368192,"2.15.1","x86_64","linux-gnu","plyr","1.7.1","US",2
"2012-10-01","02:13:48",1061394,"2.15.1","i686","linux-gnu","Amelia","1.6.3","AU",1
"2012-10-01","02:37:34",868687,"2.15.0","x86_64","linux-gnu","RCurl","1.95-0","US",3
"2012-10-01","04:06:10",1023,NA,NA,NA,NA,NA,"US",4
"2012-10-01","08:17:26",2094435,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","08:29:01",868687,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","08:28:54",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","08:17:33",8954,"2.15.1","x86_64","linux-gnu","bitops","1.0-4.1","US",2
"2012-10-01","08:17:34",868687,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:26:35",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:43:46",2094435,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:44:58",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:44:51",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:59:07",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:37",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:53:18",2094435,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:30",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:30",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:25",868687,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:45:41",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:41:21",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:26:29",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:41:15",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:37",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:45:33",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:59:15",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:43:54",868687,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","13:12:51",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","13:17:45",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","13:12:35",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","13:12:43",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","13:12:44",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","13:12:06",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","13:11:59",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","13:17:38",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","13:02:16",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","13:02:08",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:34:53",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:44:34",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:44:27",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:33:05",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:33:14",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:28:50",574468,"2.15.1","x86_64","linux-gnu","Hmisc","3.9-3","US",2
"2012-10-01","14:29:07",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:35:34",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:36:45",868701,"2.15.1","x86_64","darwin9.8.0","RCurl","1.95-0","US",2
"2012-10-01","14:55:02",83902,"2.15.1","x86_64","darwin9.8.0","quadprog","1.5-4","US",5
"2012-10-01","14:55:03",348686,"2.15.1","x86_64","darwin9.8.0","tseries","0.10-29","US",5
"2012-10-01","14:55:03",170946,"2.15.1","x86_64","darwin9.8.0","fracdiff","1.4-1","US",5
"2012-10-01","14:55:06",1474858,"2.15.1","x86_64","darwin9.8.0","RcppArmadillo","0.3.4.2","US",5
"2012-10-01","14:55:08",1697731,"2.15.1","x86_64","linux-gnu","forecast","3.25","US",5
"2012-10-01","14:30:16",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:30:08",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:29:53",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:35:20",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:35:04",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:35:01",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:35:26",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:35:12",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:35:11",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:36:38",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:27:57",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:28:03",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:28:50",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:32:43",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","14:32:35",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:29:06",8954,"2.15.1","x86_64","linux-gnu","bitops","1.0-4.1","US",2
"2012-10-01","14:29:46",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","14:44:34",8968,"2.15.1","x86_64","linux-gnu","bitops","1.0-4.1","US",2
"2012-10-01","15:51:14",2119957,"2.15.1","x86_64","linux-gnu","Rcpp","0.9.14","US",2
"2012-10-01","15:13:00",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","15:13:07",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:20:47",1557500,"2.15.1","x86_64","linux-gnu","RSQLite","0.11.2","US",6
"2012-10-01","16:13:08",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:13:15",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:34:12",2094449,"2.15.1","x86_64","mingw32","mosaic","0.6-2","US",2
"2012-10-01","16:10:51",170085,"2.15.1","x86_64","linux-gnu","scales","0.2.2","US",7
"2012-10-01","16:16:30",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:25:16",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:38:49",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:38:55",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:07:13",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:07:28",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:07:21",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:07:05",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:59:59",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:16:12",170075,NA,NA,NA,"scales","0.2.2","US",7
"2012-10-01","16:00:56",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:01:08",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:45:29",868697,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:47:24",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:47:16",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:16:37",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:01:01",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:34:46",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:34:18",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:34:39",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:18:03",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:18:10",868701,"2.15.1","x86_64","mingw32","RCurl","1.95-0","US",2
"2012-10-01","16:00:50",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:05:27",170076,"2.15.1","x86_64","linux-gnu","scales","0.2.2","US",7
"2012-10-01","16:25:24",868697,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","16:25:23",8968,"2.15.1","x86_64","linux-gnu","bitops","1.0-4.1","US",2
"2012-10-01","16:45:22",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:47:56",2094444,"2.14.2","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","16:48:04",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:43:19",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:36:17",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:38:49",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:38:49",8954,"2.15.1","x86_64","linux-gnu","bitops","1.0-4.1","US",2
"2012-10-01","17:38:43",868701,"2.14.2","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:36:25",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:44:24",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:33:03",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:37:45",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:38:36",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:38:14",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:52:05",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:38:42",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:37:39",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:36:40",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:36:47",619124,"2.15.1","x86_64","linux-gnu","Sleuth2","1.0-7","US",2
"2012-10-01","17:00:07",868701,"2.14.2","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:34:09",619115,"2.15.1","x86_64","linux-gnu","Sleuth2","1.0-7","US",2
"2012-10-01","17:44:53",619115,"2.15.1","x86_64","linux-gnu","Sleuth2","1.0-7","US",2
"2012-10-01","17:44:23",2094444,"2.14.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:38:21",868695,"2.14.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:32:32",574468,"2.15.1","x86_64","linux-gnu","Hmisc","3.9-3","US",2
"2012-10-01","17:32:32",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:44:29",868701,"2.14.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:51:58",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:34:55",619123,"2.15.1","x86_64","linux-gnu","Sleuth2","1.0-7","US",2
"2012-10-01","17:41:55",868696,"2.14.2","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","17:41:45",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","17:43:19",574463,"2.15.1","x86_64","linux-gnu","Hmisc","3.9-3","US",2
"2012-10-01","18:10:44",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","18:28:44",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","18:45:27",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","18:28:51",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","18:16:44",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","18:10:51",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","18:45:33",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","18:00:24",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","18:00:18",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","18:16:37",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","21:06:52",39430,"2.15.1","x86_64","darwin9.8.0","reshape","0.8.4","US",6
"2012-10-01","22:04:13",287828,"2.15.1","i686","linux-gnu","WriteXLS","2.1.1","US",6
"2012-10-01","22:23:56",198806,"2.15.1","i686","linux-gnu","devtools","0.8","US",8
